Fp1,Fp2,F3,F4
-1.293360415478630454e+00,-1.274349096229513645e+00,-1.553909476457865591e+00,-1.228692394704698820e+00
-1.961210431354570849e+00,-1.740369823807700334e+00,-2.157720882476547253e+00,-1.863149909786842251e+00
-2.070986794533708597e+00,-1.737352477813829177e+00,-2.352661941076914953e+00,-1.967437454807023034e+00
-1.440888299031937825e+00,-1.211327176182720677e+00,-1.572143106659700917e+00,-1.368843884080340967e+00
-1.176321945251424639e+00,-1.084258543136298325e+00,-1.311625503921904690e+00,-1.117505847988853329e+00
-1.133522020302066280e-02,-5.128886550145198009e-02,-4.055855676483531222e-03,-1.076845919286962931e-02
7.111218162461597769e-01,4.918114254081278891e-01,8.126783685522538381e-01,6.755657254338517381e-01
1.359532150267148909e+00,1.179672515025729007e+00,1.270331325132221023e+00,1.291555542753791475e+00
1.573505654711632840e+00,1.541681155292750072e+00,1.768130408741635851e+00,1.494830371976051175e+00
1.508497385209614849e+00,1.209704010320997947e+00,1.570610614871565280e+00,1.433072515949133985e+00
6.876478994085175600e-01,5.613014427649083427e-01,7.566403391260952960e-01,6.532655044380916154e-01
3.654682149783910483e-01,2.997378431062509008e-01,2.576803430391430005e-01,3.471948042294714654e-01
-4.870254721412848875e-01,-3.999363921918194231e-01,-5.393122317395232512e-01,-4.626741985342206487e-01
-1.303662744178772037e+00,-1.194848817138801866e+00,-1.382446394203266316e+00,-1.238479606969833391e+00
-1.379303312037226004e+00,-1.364166239448961981e+00,-1.586040781937360311e+00,-1.310338146435364726e+00
-1.437935433172196742e+00,-1.359484420641796865e+00,-1.675494493016582265e+00,-1.366038661513586883e+00
-1.020452922538638951e+00,-9.053322187966027501e-01,-1.162064194541932105e+00,-9.694302764117069815e-01
4.739161379764168514e-01,3.525253299795466644e-01,6.161495265676746325e-01,4.502203310775960143e-01
1.264322489343765010e+00,1.058804270866671171e+00,1.269594630403445112e+00,1.201106364876576738e+00
1.696958845831838758e+00,1.559702499609170179e+00,1.728319696432594865e+00,1.612110903540246776e+00
1.730484039537708130e+00,1.401230190548315546e+00,1.863882278698801409e+00,1.643959837560822645e+00
1.636767940798944831e+00,1.490516271986606078e+00,1.950365867766026939e+00,1.554929543758997612e+00
1.378187714178207290e+00,1.278566067994828748e+00,1.537636090718359050e+00,1.309278328469296815e+00
6.512113039156729455e-01,5.644642195633177151e-01,5.581715015117473255e-01,6.186507387198892927e-01
-3.733393639677374809e-01,-3.272954598788647140e-01,-3.971887765958269090e-01,-3.546723957693506124e-01
-1.474291069153751188e+00,-1.404844397346931339e+00,-1.624889977871645463e+00,-1.400576515696063673e+00
-2.009518797780921684e+00,-1.837828334075871650e+00,-2.098299564439442211e+00,-1.909042857891875444e+00
-2.685600245638334549e+00,-2.265632778553095417e+00,-3.127809173568262047e+00,-2.551320233356417777e+00
-1.751394769660595374e+00,-1.424913512044537978e+00,-2.104629245720227804e+00,-1.663825031177565528e+00
-1.710423227988644435e+00,-1.483915605579577468e+00,-1.865751010681203415e+00,-1.624902066589212213e+00
-6.034999185923737297e-01,-7.199413131284549960e-01,-5.783998720680766370e-01,-5.733249226627550321e-01
9.187687384557776671e-01,7.807426997797071166e-01,1.022936343066600973e+00,8.728303015329887948e-01
1.101822069801886350e+00,1.039644694880802245e+00,1.301489326499608357e+00,1.046730966311792077e+00
2.098237949888711817e+00,1.906516287313494651e+00,2.272087160260194416e+00,1.993326052394276182e+00
1.779569669538521692e+00,1.723349420329319592e+00,2.055724061183122231e+00,1.690591186061595419e+00
1.783247568509743086e+00,1.546306166840113017e+00,1.928628797525110405e+00,1.694085190084255954e+00
8.515793423462209022e-01,8.506908815723258632e-01,9.035648981020146797e-01,8.090003752289097738e-01
6.435129921724560553e-01,5.474310364038147414e-01,7.495903523065455820e-01,6.113373425638332082e-01
-2.973814086709664073e-01,-2.890626377686234538e-01,-3.191304740488923875e-01,-2.825123382374180592e-01
-1.499634645821556589e+00,-1.292668690284527022e+00,-1.658272406189856829e+00,-1.424652913530478626e+00
-1.666447240310663380e+00,-1.386656140619675126e+00,-1.862462270303172573e+00,-1.583124878295130156e+00
-1.419166686732062477e+00,-1.071542079504881784e+00,-1.524340200840166082e+00,-1.348208352395459331e+00
-1.053347159904575614e+00,-8.615260712410630628e-01,-1.077460615338108330e+00,-1.000679801909346800e+00
-4.171740437097203047e-02,-1.761541991849132627e-01,-1.280089614869007741e-01,-3.963153415242342409e-02
5.259953737954639053e-01,3.754760066212370351e-01,4.890300479293037128e-01,4.996956051056906656e-01
1.099011279313814038e+00,9.311734461310411382e-01,1.227830756322997985e+00,1.044060715348123392e+00
1.530072446597381841e+00,1.474871101658288719e+00,1.758301561243718947e+00,1.453568824267512660e+00
8.677198294626533581e-01,7.331496063119492534e-01,7.793484575880860188e-01,8.243338379895206458e-01
7.223733178318098025e-01,6.675197711243952003e-01,7.118020372079507663e-01,6.862546519402192846e-01
-3.555058875851157402e-02,1.666268275608364519e-02,1.496476668645155828e-01,-3.377305932058599636e-02
-1.270086185043026505e+00,-1.036973081882182512e+00,-1.415965412390087330e+00,-1.206581875790875058e+00
-1.710934602551863026e+00,-1.547804050383349672e+00,-1.916451406420116799e+00,-1.625387872424269853e+00
-2.000064326396383318e+00,-1.645908170274704707e+00,-2.311979117828842245e+00,-1.900061110076564086e+00
-1.948046618894199389e+00,-1.560587581876972774e+00,-2.335015407712567104e+00,-1.850644287949489319e+00
-1.271669137485648360e+00,-1.220472206763326906e+00,-1.430922590067452482e+00,-1.208085680611365786e+00
-2.304959349578475925e-01,-1.014331816382564450e-01,-1.625496444861269651e-01,-2.189711382099552017e-01
2.858374659910579152e-01,2.932676496332330407e-01,3.619171088543288173e-01,2.715455926915050222e-01
1.359435550268432547e+00,1.382169843613688442e+00,1.596877217411031724e+00,1.291463772755010897e+00
1.944440482464989239e+00,1.924665119939117819e+00,2.199642909188134876e+00,1.847218458341739700e+00
2.423978652765787167e+00,2.260589927140073119e+00,2.694127851843636012e+00,2.302779720127497765e+00
2.216847690449280428e+00,1.978390069104664306e+00,2.324098276929280171e+00,2.106005305926816451e+00
1.508725464971530483e+00,1.220579543929365851e+00,1.632699519308758340e+00,1.433289191722953992e+00
6.124955242516046949e-01,5.657773798152696543e-01,5.489798962359214718e-01,5.818707480390243880e-01
-4.905429381468755512e-01,-6.622167984161679843e-01,-6.667755646494593069e-01,-4.660157912395317403e-01
-1.441025855813457879e+00,-1.262387440893989687e+00,-1.415826580585882066e+00,-1.368974563022784974e+00
-1.671142982960445611e+00,-1.334988133647574848e+00,-1.863797930832187255e+00,-1.587585833812423353e+00
-2.226332222378573089e+00,-2.049045662197945816e+00,-2.448412172902058703e+00,-2.115015611259644324e+00
-1.518694476761777601e+00,-1.478323476830713412e+00,-1.679227907769857753e+00,-1.442759752923688632e+00
-1.083832195133482168e+00,-9.032296503871782845e-01,-1.236866924056619910e+00,-1.029640585376808026e+00
-1.792324659580543933e-01,-2.442864361842338461e-01,-2.247669780924234639e-01,-1.702708426601516611e-01
5.682179178783569595e-01,4.042120838193431487e-01,6.306187187636769220e-01,5.398070219844390838e-01
1.277632061604269564e+00,1.161557082385816564e+00,1.525536454258601182e+00,1.213750458524055942e+00
1.327474940179924401e+00,1.204523252359958496e+00,1.409960230428581873e+00,1.261101193170928170e+00
1.372294106631500643e+00,1.130399192653987139e+00,1.577229337717757751e+00,1.303679401299925544e+00
7.688634995259227001e-01,5.428687451425278088e-01,9.510379268520200435e-01,7.304203245496265762e-01
1.190985751287173405e-02,-3.569050713603150182e-02,-7.788427617114081214e-02,1.131436463722814735e-02
-5.894178994530049343e-01,-6.252505681818028016e-01,-7.138788297676571526e-01,-5.599470044803546154e-01
-9.881298102033326813e-01,-1.021646359679504235e+00,-1.237547061300990903e+00,-9.387233196931660251e-01
-1.421351037546187301e+00,-1.334638779472164583e+00,-1.479357368848905896e+00,-1.350283485668877903e+00
-1.326666757477980019e+00,-1.193431633450195095e+00,-1.137305819935150897e+00,-1.260333419604080962e+00
-5.760046077091656169e-01,-3.714462264003617342e-01,-5.746453927413094354e-01,-5.472043773237073028e-01
-2.796095751467262414e-01,-3.290379112000952899e-01,-4.033247467965186406e-01,-2.656290963893899182e-01
1.066309587312632701e+00,1.146301930833184990e+00,1.343332462696557927e+00,1.012994107947001066e+00
1.262132370661423364e+00,1.131558320114910865e+00,1.308941795993435075e+00,1.199025752128352051e+00
2.054678167903942310e+00,1.913717117715653337e+00,2.276002246685324248e+00,1.951944259508745061e+00
1.525272160894541873e+00,1.398603381849521821e+00,1.685417751240413375e+00,1.449008552849814668e+00
1.765075959891529767e+00,1.648140524024762854e+00,1.750231052298450107e+00,1.676822161896953212e+00
4.872741652512228017e-01,3.793623381316695853e-01,4.065478563956430591e-01,4.629104569886616227e-01
-1.888667142737665561e-03,4.300142648247062133e-02,8.206885159072901947e-02,-1.794233785600782239e-03
-9.774612138261732364e-01,-9.457805519026184493e-01,-1.076891619175555093e+00,-9.285881531348645357e-01
-1.946882147790672590e+00,-1.790335186264894185e+00,-2.161853652780347357e+00,-1.849538040401138783e+00
-2.205306126282754686e+00,-2.087511453865776190e+00,-2.493990665485650737e+00,-2.095040819968617019e+00
-2.047531502876635212e+00,-1.756676571624520067e+00,-2.186556904376410593e+00,-1.945154927732803296e+00
-1.564297327390744785e+00,-1.413443189843954118e+00,-1.728395239113639015e+00,-1.486082461021207557e+00
-5.391784544604234508e-01,-5.886526231149881161e-01,-5.534939808669102623e-01,-5.122195317374022006e-01
4.162254637943869628e-01,2.909512247368454263e-01,5.858556247715500653e-01,3.954141906046675925e-01
1.059398480470793658e+00,9.864923642442401386e-01,1.044007643993382972e+00,1.006428556447253930e+00
1.922303842130472118e+00,1.711547033020776487e+00,2.057874306892531369e+00,1.826188650023948368e+00
1.949486669823879970e+00,1.650821344023336135e+00,2.061234679333874276e+00,1.852012336332685916e+00
1.213354048566877452e+00,9.422079663843960784e-01,1.324063868277967959e+00,1.152686346138533491e+00
9.370946035523228801e-01,6.977059302335265611e-01,9.825293051718513304e-01,8.902398733747066695e-01
1.780085755744403864e-01,7.372627018933639031e-02,-3.576102292058233600e-02,1.691081467957183671e-01
-3.460941054080790003e-01,-3.043299051383402398e-01,-5.140085930252107360e-01,-3.287894001376750475e-01
-1.375968948554980864e+00,-1.206934149240761922e+00,-1.583696521902322241e+00,-1.307170501127231654e+00
-1.429208616255308151e+00,-1.330340322638833950e+00,-1.593664797469504624e+00,-1.357748185442542610e+00
-1.314770464573765896e+00,-1.225679063304476513e+00,-1.421353433306277392e+00,-1.249031941345077446e+00
-9.111514145063532855e-01,-8.441287504530063934e-01,-1.040045258607202650e+00,-8.655938437810355435e-01
-1.734533588549658500e-01,-6.591578946310587550e-02,-1.991604283281006305e-01,-1.647806909122175589e-01
1.018848067352863263e+00,9.597712515210409245e-01,1.146810969411769188e+00,9.679056639852200439e-01
1.001023686504967092e+00,7.684699232697626003e-01,1.038612279853545539e+00,9.509725021797187372e-01
1.482168303513768048e+00,1.336258912941313159e+00,1.567264629484244054e+00,1.408059888338079491e+00
1.291809008363965061e+00,1.137989777070146147e+00,1.225313249601986954e+00,1.227218557945766841e+00
1.029906738793157084e+00,8.584356663703189838e-01,1.290175072423915381e+00,9.784114018534991741e-01
2.808051531019274960e-01,2.403019663698763297e-01,4.245342843553066570e-01,2.667648954468311295e-01
-9.037892257416410002e-01,-8.806467846512883169e-01,-1.128344294863397490e+00,-8.585997644545588781e-01
-1.353869024833736834e+00,-1.085082106289762871e+00,-1.415140258407282969e+00,-1.286175573592049926e+00
-2.150020973657270851e+00,-1.760334733595525725e+00,-2.364823491864929572e+00,-2.042519924974407264e+00
-1.768294993098885159e+00,-1.591493258614251394e+00,-2.005019126318530631e+00,-1.679880243443940824e+00
-1.491213682383796924e+00,-1.427154139470869110e+00,-1.552922716098757316e+00,-1.416652998264607000e+00
-2.363745753330550037e-01,-2.440623359258028424e-01,-3.244859059411246416e-01,-2.245558465664022341e-01
4.424251899309167291e-01,2.853594041138390880e-01,3.604605838821371977e-01,4.203039304343708649e-01
1.369766619731078716e+00,1.106912260472585174e+00,1.430591973934425498e+00,1.301278288744524669e+00
1.814107284629514316e+00,1.586493268282652469e+00,2.135116274696893246e+00,1.723401920398038412e+00
2.324559740809121866e+00,2.052579594661377627e+00,2.604280367294676157e+00,2.208331753768665529e+00
2.023023236781261502e+00,1.763019476255038187e+00,2.112769722126280669e+00,1.921872074942198250e+00
1.617652602451864041e+00,1.465641328127075926e+00,1.718895994055900545e+00,1.536769972329270706e+00
3.153755577069570770e-01,4.440802098965214162e-01,2.635552699315376612e-01,2.996067798216092148e-01
1.482282353695601462e-01,5.958920860026219180e-02,3.709769857452836495e-01,1.408168236010821361e-01
-1.022587645390460098e+00,-8.528168850816274515e-01,-1.190642719495848656e+00,-9.714582631209370822e-01
-1.874662497273630546e+00,-1.598019382823435031e+00,-2.073495079987656808e+00,-1.780929372409948863e+00
-1.883904707716835381e+00,-1.688810299129203107e+00,-2.341152278009645205e+00,-1.789709472330993423e+00
-2.082810297610174111e+00,-1.865257202291364713e+00,-2.488990590447952567e+00,-1.978669782729665316e+00
-4.569893736417771635e-01,-2.074209907713566170e-01,-5.337715982327999598e-01,-4.341399049596882942e-01
-2.030859003304913146e-01,1.841807838947351339e-02,-3.192452072179702838e-01,-1.929316053139667475e-01
5.630306638984305945e-01,2.435762359780688779e-01,7.388164550659841456e-01,5.348791307035090092e-01
8.681860287627845008e-01,5.441007358261706894e-01,1.009013356308796183e+00,8.247767273246452424e-01
1.323264185204952925e+00,1.110746127755646739e+00,1.539140140866736450e+00,1.257100975944705157e+00
1.053830795781614205e+00,7.892822056117831941e-01,1.038224493200292642e+00,1.001139255992533394e+00
9.339845414773786381e-01,9.494297413360621718e-01,1.103320129777284109e+00,8.872853144035096618e-01
-1.173053127309714727e-01,-1.942172635582675722e-02,-1.292676333649591669e-01,-1.114400470944229005e-01
-6.946737464984931165e-01,-6.565807792302735812e-01,-8.328696974024715205e-01,-6.599400591735684607e-01
-1.510115205354685575e+00,-1.374728272320392186e+00,-1.727159705827206571e+00,-1.434609445086951318e+00
-1.405471481567013070e+00,-1.109593235217308571e+00,-1.774637256496327753e+00,-1.335197907488662405e+00
-1.388813848916517824e+00,-1.251776674639097475e+00,-1.633373692056717230e+00,-1.319373156470691866e+00
-7.115796583434566003e-01,-7.363149484270912204e-01,-7.478476735177643775e-01,-6.760006754262837259e-01
6.211407105383717209e-01,5.030616102876817042e-01,7.725491305358394012e-01,5.900836750114530904e-01
1.247785976000871599e+00,1.253185504687140739e+00,1.361330352611322736e+00,1.185396677200827975e+00
1.598470439469402926e+00,1.512874642337930231e+00,1.856864917850560737e+00,1.518546917495932735e+00
2.123686858448615489e+00,1.901447319952609849e+00,2.407202327798911856e+00,2.017502515526184759e+00
1.933397840963923642e+00,1.756509824336969450e+00,2.176823313132159488e+00,1.836727948915727326e+00
1.741419508637352065e+00,1.597649357727827901e+00,1.692912625781080260e+00,1.654348533205484362e+00
4.146913553243822825e-01,3.701337812171235919e-01,4.678989616462562728e-01,3.939567875581631573e-01
-2.512690242147108677e-01,-1.468570651489650714e-01,-3.178099738570601129e-01,-2.387055730039753243e-01
-1.117605288554655241e+00,-1.069614632128816689e+00,-1.260110705039144019e+00,-1.061725024126922490e+00
-2.086052426916124247e+00,-1.973437165034878094e+00,-2.340839442775042301e+00,-1.981749805570317990e+00
-2.258193122758469951e+00,-1.924322419878577550e+00,-2.629619982077989970e+00,-2.145283466620546253e+00
-2.228550816484630825e+00,-2.001710499745848804e+00,-2.442631479710546838e+00,-2.117123275660399262e+00
-1.573418679643713070e+00,-1.377271565999722780e+00,-1.719621813995535042e+00,-1.494747745661527238e+00
-5.555533743626150933e-01,-3.474677629712358273e-01,-6.547668622671335426e-01,-5.277757056444842831e-01
7.263000194987128122e-01,5.712739358782326082e-01,8.475648162112037198e-01,6.899850185237771383e-01
1.679466165139460232e+00,1.470997626139423531e+00,1.943985760197978419e+00,1.595492856882487098e+00
1.890379906906953345e+00,1.661827108014015897e+00,2.292084300332878133e+00,1.795860911561605544e+00
1.738595938820393982e+00,1.697755671226550689e+00,1.919981672765910696e+00,1.651666141879374106e+00
1.784844719507016730e+00,1.614483788114233098e+00,2.082950903334569226e+00,1.695602483531665872e+00
8.992723569848956044e-01,6.200585813209329444e-01,1.004676938208804993e+00,8.543087391356507521e-01
4.416597031454477795e-02,-2.007380700000300361e-02,4.830277622512665903e-02,4.195767179881753489e-02
-4.552590210274433113e-01,-3.349241173950720518e-01,-3.642789069339158470e-01,-4.324960699760711513e-01
-1.148392784135882971e+00,-9.924068757051631717e-01,-1.225072568219272018e+00,-1.090973144929088701e+00
-1.735808637166450064e+00,-1.509165389908690980e+00,-1.856289987387357732e+00,-1.649018205308127483e+00
-1.611921178065530258e+00,-1.315405917025828542e+00,-1.813351136866447000e+00,-1.531325119162253667e+00
-2.657508256366648003e-01,-3.261170297011455887e-01,-2.043769964629815750e-01,-2.524632843548315630e-01
-1.196215829629019012e-01,-8.689532834191412980e-02,-1.063626167599298761e-01,-1.136405038147568075e-01
4.231796326113235196e-02,7.122414867687663909e-02,2.321645020882231181e-01,4.020206509807573020e-02
1.195796216084297647e+00,1.014732421372360083e+00,1.337641146398397929e+00,1.136006405280082676e+00
1.381151778368856275e+00,1.174567319986828062e+00,1.451321752438073043e+00,1.312094189450413451e+00
1.273533739411399024e+00,1.087626063526780262e+00,1.391495209340977146e+00,1.209857052440828973e+00
5.186856303351223829e-01,4.183816730496017211e-01,4.169508236638780341e-01,4.927513488183662416e-01
-4.233548882879838438e-01,-3.464075553974252930e-01,-2.488144564381546131e-01,-4.021871438735846183e-01
-1.062752120696455416e+00,-1.123673863066030565e+00,-9.496904462941526681e-01,-1.009614514661632656e+00
-1.595602205851988531e+00,-1.383542331815447612e+00,-1.701293557763253306e+00,-1.515822095559389071e+00
-1.914726278481564181e+00,-1.639229442831630079e+00,-2.184508632585000054e+00,-1.818989964557485850e+00
-1.671820985759838729e+00,-1.696576704625570642e+00,-1.792879072303330323e+00,-1.588229936471846626e+00
-1.656120308103087302e+00,-1.416093819627554096e+00,-1.716179126498335261e+00,-1.573314292697932881e+00
-1.441009240676204839e-01,-5.002995416527927786e-02,1.112099256305463246e-01,-1.368958778642394569e-01
7.786127904202595484e-01,5.319323010419794162e-01,8.223091252811494112e-01,7.396821508992464933e-01
1.659020559241229709e+00,1.397673077888721638e+00,1.688326180476283689e+00,1.576069531279168157e+00
2.155339795174461504e+00,2.076048988389308736e+00,2.438329886450643968e+00,2.047572805415738273e+00
2.140830738305683045e+00,1.971028740386487232e+00,2.120712191889883691e+00,2.033789201390398649e+00
1.922274387644551830e+00,1.879731184162938051e+00,2.154380433317212962e+00,1.826160668262324149e+00
1.824048032757491944e+00,1.654474069786103341e+00,1.914766071152391280e+00,1.732845631119617202e+00
3.808935043153505173e-01,3.719571968782524607e-01,4.374806217785537354e-01,3.618488290995829915e-01
-2.924732084994019488e-01,-2.285357401797862009e-01,-4.061534995939110049e-01,-2.778495480744318513e-01
-1.170387401342558586e+00,-8.708617978721187036e-01,-1.280641903460686404e+00,-1.111868031275430546e+00
-1.817521893585736459e+00,-1.636677810069034900e+00,-1.979380610208969493e+00,-1.726645798906449647e+00
-1.977060545548018577e+00,-1.847132345775515105e+00,-2.204387546840456569e+00,-1.878207518270617493e+00
-1.388160861582180994e+00,-1.587533007008466779e+00,-1.741832584991821475e+00,-1.318752818503071911e+00
-8.481112178385624700e-01,-8.339654532207322335e-01,-9.944674109842197574e-01,-8.057056569466343188e-01
-6.180989774138760939e-01,-6.683989603823657921e-01,-5.945455224272029326e-01,-5.871940285431822559e-01
6.750894080075697801e-01,6.730539525989556182e-01,6.584473802726141800e-01,6.413349376071912911e-01
1.033484317673703634e+00,8.970789326304993150e-01,1.168816891081693177e+00,9.818101017900183747e-01
1.388017819106506456e+00,1.397390646422707716e+00,1.646180024448105739e+00,1.318616928151181034e+00
6.001221133991939682e-01,4.365511701275284207e-01,5.427147550112634278e-01,5.701160077292342088e-01
7.873738229345854656e-01,6.449536026361144536e-01,8.241678205644178412e-01,7.480051317878561035e-01
-2.826219365132781047e-01,-2.936282260402755528e-01,-4.327970378250541872e-01,-2.684908396876141690e-01
-6.371659125075439523e-01,-5.064695208151146488e-01,-5.817304743455982141e-01,-6.053076168821667213e-01
-8.332177825497550927e-01,-7.171739101774492475e-01,-8.851935691422292418e-01,-7.915568934222673159e-01
-1.517396422890316510e+00,-1.266741118656265819e+00,-1.916288354404423577e+00,-1.441526601745800606e+00
